"__mclCluster","EnrichmentMap::Colouring (GSEAresults)","EnrichmentMap::ES (GSEAresults)","EnrichmentMap::fdr_qvalue (GSEAresults)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (GSEAresults)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (GSEAresults)","EnrichmentMap::pvalue (GSEAresults)","name","NumChildren","NumDescendents","selected","shared name"
,"-0.9784","-0.68","0.092","NEUROMUSCULAR 
PROCESS%GOBP%GO:0050905 ","1.0","CDH23|GLRA1|UBA5|CLN3|MYCBP2|TPP1|CLRN1|PTEN|PAFAH1B1|GRID2|AGTPBP1|NRXN1|GCH1|DCTN1|CTNNA2","neuromuscular process","15","ENR","NEUROMUSCULAR PROCESS%GOBP%GO:0050905","-1.4187","0.0216","NEUROMUSCULAR PROCESS%GOBP%GO:0050905",,,"false","NEUROMUSCULAR PROCESS%GOBP%GO:0050905"
,"1.0","0.5939","0.01","PINK1-PRKN 
MEDIATED 
MITOPHAGY%REACTOME%R-HSA-5205685.3 ","0.023","MAP1LC3A|RPS27A|TOMM6|TOMM5|UBB|MFN1|UBC|TOMM22|ATG5|VDAC1|ATG12|MAP1LC3B|UBA52|TOMM20|TOMM7|PINK1|TOMM40|SQSTM1","PINK1-PRKN Mediated Mitophagy","18","ENR","PINK1-PRKN MEDIATED MITOPHAGY%REACTOME%R-HSA-5205685.3","2.106","0.0","PINK1-PRKN MEDIATED MITOPHAGY%REACTOME%R-HSA-5205685.3",,,"false","PINK1-PRKN MEDIATED MITOPHAGY%REACTOME%R-HSA-5205685.3"
"22","1.0","0.7563","0.0","HYDROGEN 
PEROXIDE 
METABOLIC 
PROCESS%GOBP%GO:0042743 ","0.0","HBM|PXDNL|HBZ|GPX3|CAT|HBG2|HBG1|PRDX5|HBB|SOD1|DUOX1|HBA2|CYBA|MPO|HBD|ACOX1|PRDX2|HBQ1|PRDX3|PARK7|PRDX1|GPX1","hydrogen peroxide metabolic process","22","ENR","HYDROGEN PEROXIDE METABOLIC PROCESS%GOBP%GO:0042743","3.0284","0.0","HYDROGEN PEROXIDE METABOLIC PROCESS%GOBP%GO:0042743",,,"false","HYDROGEN PEROXIDE METABOLIC PROCESS%GOBP%GO:0042743"
"22","1.0","0.8305","0.0","HYDROGEN 
PEROXIDE 
CATABOLIC 
PROCESS%GOBP%GO:0042744 ","0.0","HBM|PXDNL|HBZ|GPX3|CAT|HBG2|PRDX5|HBG1|HBB|HBA2|MPO|HBD|PRDX2|HBQ1|PRDX3|PRDX1|GPX1","hydrogen peroxide catabolic process","17","ENR","HYDROGEN PEROXIDE CATABOLIC PROCESS%GOBP%GO:0042744","3.1279","0.0","HYDROGEN PEROXIDE CATABOLIC PROCESS%GOBP%GO:0042744",,,"false","HYDROGEN PEROXIDE CATABOLIC PROCESS%GOBP%GO:0042744"
"22","1.0","0.693","0.0","ANTIBIOTIC 
CATABOLIC 
PROCESS%GOBP%GO:0017001 ","0.0","HBM|HBZ|CAT|AMDHD2|PRDX5|HBB|PCK2|AKR1C3|NAGK|MPO|HBD|PRDX2|HBQ1|SULT1A2|PRDX1|NPL|PXDNL|GPX3|HBG2|HBG1|SULT1A3|GNPDA1|GNPDA2|HBA2|RENBP|SULT1A1|SULT1B1|ADH5|PRDX3|GPX1","antibiotic catabolic process","30","ENR","ANTIBIOTIC CATABOLIC PROCESS%GOBP%GO:0017001","2.8036","0.0","ANTIBIOTIC CATABOLIC PROCESS%GOBP%GO:0017001",,,"false","ANTIBIOTIC CATABOLIC PROCESS%GOBP%GO:0017001"
"47","-0.9848","-0.6603","0.0957","PID_RETINOIC_ACID_
PATHWAY%MSIGDB_
C2%PID_RETINOIC_
ACID_PATHWAY","1.0","MAPK8|CREBBP|HDAC1|NCOR2|RARA|NCOA1|RXRA|PRKCA|RXRB|RARB|EP300|KAT2B|HDAC3|CDK7|CCNH|MNAT1|MAPK1|MAPK14|MAPK3","PID_RETINOIC_ACID_PATHWAY","19","ENR","PID_RETINOIC_ACID_PATHWAY%MSIGDB_C2%PID_RETINOIC_ACID_PATHWAY","-1.4139","0.0152","PID_RETINOIC_ACID_PATHWAY%MSIGDB_C2%PID_RETINOIC_ACID_PATHWAY",,,"false","PID_RETINOIC_ACID_PATHWAY%MSIGDB_C2%PID_RETINOIC_ACID_PATHWAY"
"47","-0.9919","-0.6383","0.0959","RETINOIC ACID 
RECEPTORS-MEDIATED 
SIGNALING%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED 
DATA%RETINOIC 
ACID 
RECEPTORS-MEDIATED 
SIGNALING ","1.0","MAPK8|CREBBP|PRKCA|RXRB|EP300|RARB|KAT2B|CCNH|MNAT1|VDR|MAPK1|MAPK3|AKT1|HDAC1|RARG|NCOR2|RARA|NCOA1|RXRA|PRKACA|HDAC3|CDK7|NRIP1|NCOA2|MAPK14|NCOA3","Retinoic acid receptors-mediated signaling","26","ENR","RETINOIC ACID RECEPTORS-MEDIATED SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%RETINOIC ACID RECEPTORS-MEDIATED SIGNALING","-1.4141","0.0081","RETINOIC ACID RECEPTORS-MEDIATED SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%RETINOIC ACID RECEPTORS-MEDIATED SIGNALING",,,"false","RETINOIC ACID RECEPTORS-MEDIATED SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%RETINOIC ACID RECEPTORS-MEDIATED SIGNALING"
,"-0.9969","-0.6686","0.0848","SIGNALING EVENTS 
MEDIATED BY HDAC 
CLASS 
III%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED 
DATA%SIGNALING 
EVENTS MEDIATED 
BY HDAC CLASS III ","1.0","MEF2D|ACSS1|CREBBP|FOXO4|FOXO1|SIRT1|ACSS2|FHL2|SIRT2|FOXO3|EP300|KAT2B|BAX|SIRT7|HDAC4|CDKN1A|SIRT3|TUBA1B|TUBB2A|TP53|XRCC6","Signaling events mediated by HDAC Class III","21","ENR","SIGNALING EVENTS MEDIATED BY HDAC CLASS III%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY HDAC CLASS III","-1.4311","0.0031","SIGNALING EVENTS MEDIATED BY HDAC CLASS III%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY HDAC CLASS III",,,"false","SIGNALING EVENTS MEDIATED BY HDAC CLASS III%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY HDAC CLASS III"
,"-0.998","-0.6784","0.0692","EFFECTS OF PIP2 
HYDROLYSIS%REACTOME 
DATABASE ID 
RELEASE 
75%114508 ","1.0","RASGRP2|RASGRP1|DGKQ|DAGLA|TRPC6|DAGLB|PRKCD|PRKCQ|ABHD12|ITPR1|ITPR2|ITPR3|PRKCH|DGKD|PRKCE|MGLL|DGKG|DGKE|DGKA|DGKZ|DGKH|ABHD6","Effects of PIP2 hydrolysis","22","ENR","EFFECTS OF PIP2 HYDROLYSIS%REACTOME DATABASE ID RELEASE 75%114508","-1.461","0.002","EFFECTS OF PIP2 HYDROLYSIS%REACTOME DATABASE ID RELEASE 75%114508",,,"false","EFFECTS OF PIP2 HYDROLYSIS%REACTOME DATABASE ID RELEASE 75%114508"
"11","-0.998","-0.6613","0.0726","SIGNALING BY 
FGFR1 IN 
DISEASE%REACTOME%R-HSA-5655302.2 ","1.0","CUX1|CPSF6|PLCG1|SOS1|FRS2|HRAS|ERLIN2|BAG4|PIK3CA|STAT1|FGFR1|GAB2|STAT3|PIK3R1|STAT5A|ZMYM2|MYO18A|LRRFIP1|FGFR1OP2|BCR|TRIM24|STAT5B|GAB1|NRAS","Signaling by FGFR1 in disease","24","ENR","SIGNALING BY FGFR1 IN DISEASE%REACTOME%R-HSA-5655302.2","-1.4538","0.002","SIGNALING BY FGFR1 IN DISEASE%REACTOME%R-HSA-5655302.2",,,"false","SIGNALING BY FGFR1 IN DISEASE%REACTOME%R-HSA-5655302.2"
"11","-0.9949","-0.7189","0.0548","SIGNALING BY FLT3 
FUSION 
PROTEINS%REACTOME 
DATABASE ID 
RELEASE 
75%9703465 ","1.0","SOS1|HRAS|PIK3CA|GAB2|PIK3R1|CDKN1A|TRIP11|STAT5A|ZMYM2|GOLGB1|MYO18A|SPTBN1|PIM1|ETV6|STAT5B|NRAS","Signaling by FLT3 fusion proteins","16","ENR","SIGNALING BY FLT3 FUSION PROTEINS%REACTOME DATABASE ID RELEASE 75%9703465","-1.5008","0.0051","SIGNALING BY FLT3 FUSION PROTEINS%REACTOME DATABASE ID RELEASE 75%9703465",,,"false","SIGNALING BY FLT3 FUSION PROTEINS%REACTOME DATABASE ID RELEASE 75%9703465"
"11","-0.9917","-0.7192","0.062","SIGNALING BY 
CYTOSOLIC FGFR1 
FUSION 
MUTANTS%REACTOME 
DATABASE ID 
RELEASE 
75%1839117 ","1.0","CUX1|CPSF6|PIK3CA|STAT1|GAB2|STAT3|PIK3R1|STAT5A|ZMYM2|LRRFIP1|MYO18A|FGFR1OP2|BCR|STAT5B|TRIM24","Signaling by cytosolic FGFR1 fusion mutants","15","ENR","SIGNALING BY CYTOSOLIC FGFR1 FUSION MUTANTS%REACTOME DATABASE ID RELEASE 75%1839117","-1.4841","0.0083","SIGNALING BY CYTOSOLIC FGFR1 FUSION MUTANTS%REACTOME DATABASE ID RELEASE 75%1839117",,,"false","SIGNALING BY CYTOSOLIC FGFR1 FUSION MUTANTS%REACTOME DATABASE ID RELEASE 75%1839117"
"11","-0.9795","-0.6734","0.091","FGFR1 MUTANT 
RECEPTOR 
ACTIVATION%REACTOME%R-HSA-1839124.2 ","1.0","CUX1|CPSF6|ERLIN2|BAG4|PIK3CA|STAT1|FGFR1|GAB2|STAT3|PIK3R1|STAT5A|ZMYM2|MYO18A|LRRFIP1|FGFR1OP2|BCR|TRIM24|STAT5B","FGFR1 mutant receptor activation","18","ENR","FGFR1 MUTANT RECEPTOR ACTIVATION%REACTOME%R-HSA-1839124.2","-1.4198","0.0205","FGFR1 MUTANT RECEPTOR ACTIVATION%REACTOME%R-HSA-1839124.2",,,"false","FGFR1 MUTANT RECEPTOR ACTIVATION%REACTOME%R-HSA-1839124.2"
,"1.0","0.4329","0.031","FORMATION OF THE 
TERNARY COMPLEX, 
AND 
SUBSEQUENTLY, 
THE 43S 
COMPLEX%REACTOME%R-HSA-72695.2 ","0.118","EIF3M|RPS14|EIF3K|RPS17|EIF3L|RPS16|EIF3I|EIF3J|RPS19|EIF3G|RPS18|EIF3H|EIF3E|EIF3F|EIF3C|EIF3D|EIF3A|EIF3B|RPS11|RPS10|RPS13|RPS12|RPS9|RPS7|RPS8|RPS5|RPS3A|RPSA|EIF2S3|EIF2S2|EIF2S1|RPS27L|RPS4Y1|RPS15A|RPS3|RPS27A|RPS26|RPS25|RPS28|RPS27|RPS29|RPS20|FAU|RPS6|RPS21|RPS24|RPS23|RPS2|RPS15|EIF1AX|RPS4X","Formation of the ternary complex, and subsequently, the 43S complex","51","ENR","FORMATION OF THE TERNARY COMPLEX, AND SUBSEQUENTLY, THE 43S COMPLEX%REACTOME%R-HSA-72695.2","1.898","0.0","FORMATION OF THE TERNARY COMPLEX, AND SUBSEQUENTLY, THE 43S COMPLEX%REACTOME%R-HSA-72695.2",,,"false","FORMATION OF THE TERNARY COMPLEX, AND SUBSEQUENTLY, THE 43S COMPLEX%REACTOME%R-HSA-72695.2"
"38","-0.991","-0.6315","0.099","FGF SIGNALING 
PATHWAY%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED DATA%FGF 
SIGNALING 
PATHWAY ","1.0","GRB2|SOS1|SRC|FRS2|PAK4|CDH2|PTPN11|PLAUR|SSH1|CTNND1|PIK3CA|STAT1|FGFR1|SHC1|PDPK1|PIK3R1|JUN|MAPK1|CDH1|FGFR2|MAPK3|STAT5B|GAB1|AKT1|SDC2|PLCG1|CBL|NCAM1|RPS6KA1|RUNX2|FOS|CTTN|MMP9","FGF signaling pathway","33","ENR","FGF SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FGF SIGNALING PATHWAY","-1.407","0.009","FGF SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FGF SIGNALING PATHWAY",,,"false","FGF SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FGF SIGNALING PATHWAY"
"38","-0.996","-0.6593","0.0715","PID_FGF_
PATHWAY%MSIGDB_
C2%PID_FGF_
PATHWAY","1.0","GRB2|SOS1|SRC|FRS2|PAK4|CDH2|PTPN11|PLAUR|SSH1|CTNND1|PIK3CA|STAT1|FGFR1|SHC1|PIK3R1|PDPK1|MAPK1|JUN|PTK2B|FGFR2|MAPK3|HGF|STAT5B|SDC2|CBL|NCAM1|RPS6KA1|RUNX2|FOS|MMP9","PID_FGF_PATHWAY","30","ENR","PID_FGF_PATHWAY%MSIGDB_C2%PID_FGF_PATHWAY","-1.4561","0.004","PID_FGF_PATHWAY%MSIGDB_C2%PID_FGF_PATHWAY",,,"false","PID_FGF_PATHWAY%MSIGDB_C2%PID_FGF_PATHWAY"
,"-0.9908","-0.7031","0.0608","PID_EPHA_
FWDPATHWAY%MSIGDB_
C2%PID_EPHA_
FWDPATHWAY","1.0","EFNA5|VAV2|SRC|CRKL|ROCK1|CBL|LYN|CRK|YES1|EPHA4|FYN|BLK|EPHA1|LCK|CDK5|VAV3|PIK3R5","PID_EPHA_FWDPATHWAY","17","ENR","PID_EPHA_FWDPATHWAY%MSIGDB_C2%PID_EPHA_FWDPATHWAY","-1.4863","0.0092","PID_EPHA_FWDPATHWAY%MSIGDB_C2%PID_EPHA_FWDPATHWAY",,,"false","PID_EPHA_FWDPATHWAY%MSIGDB_C2%PID_EPHA_FWDPATHWAY"
,"-0.999","-0.7865","0.0045","NEPHRIN FAMILY 
INTERACTIONS%REACTOME 
DATABASE ID 
RELEASE 
75%373753 ","0.239","PIK3R2|SPTAN1|CASK|NCK1|ACTN1|IQGAP1|ACTN4|NCK2|KIRREL3|WASL|PIK3CA|PIK3R1|FYN|MAGI2|SPTBN1|CD2AP|PIK3CB","Nephrin family interactions","17","ENR","NEPHRIN FAMILY INTERACTIONS%REACTOME DATABASE ID RELEASE 75%373753","-1.6465","0.001","NEPHRIN FAMILY INTERACTIONS%REACTOME DATABASE ID RELEASE 75%373753",,,"false","NEPHRIN FAMILY INTERACTIONS%REACTOME DATABASE ID RELEASE 75%373753"
"31","-0.9959","-0.6814","0.0729","REGULATION OF 
CARDIAC MUSCLE 
HYPERTROPHY%GOBP%GO:0010611 ","1.0","GSK3A|ROCK1|CAMK2D|IL6ST|FOXO1|NOTCH1|PRKCA|P2RX4|MTPN|RGS2|SMAD4|SLC9A1|ATP2B4|PDE9A|GLRX3|AKAP6|LMNA|ROCK2|MEF2A|PARP1","regulation of cardiac muscle hypertrophy","20","ENR","REGULATION OF CARDIAC MUSCLE HYPERTROPHY%GOBP%GO:0010611","-1.4543","0.0041","REGULATION OF CARDIAC MUSCLE HYPERTROPHY%GOBP%GO:0010611",,,"false","REGULATION OF CARDIAC MUSCLE HYPERTROPHY%GOBP%GO:0010611"
"31","-0.996","-0.7048","0.0451","REGULATION OF 
MUSCLE 
ADAPTATION%GOBP%GO:0043502 ","0.986","GSK3A|ROCK1|CAMK2D|IL6ST|FOXO1|NOTCH1|CAMK2G|PRKCA|FOXO3|P2RX4|MTPN|RGS2|SMAD4|HDAC4|SLC9A1|ATP2B4|PDE9A|FBXO32|GLRX3|AKAP6|LMNA|ROCK2|MEF2A|PARP1","regulation of muscle adaptation","24","ENR","REGULATION OF MUSCLE ADAPTATION%GOBP%GO:0043502","-1.5264","0.004","REGULATION OF MUSCLE ADAPTATION%GOBP%GO:0043502",,,"false","REGULATION OF MUSCLE ADAPTATION%GOBP%GO:0043502"
"31","-0.998","-0.6814","0.0799","REGULATION OF 
MUSCLE 
HYPERTROPHY%GOBP%GO:0014743 ","1.0","GSK3A|ROCK1|CAMK2D|IL6ST|FOXO1|NOTCH1|PRKCA|P2RX4|MTPN|RGS2|SMAD4|SLC9A1|ATP2B4|PDE9A|GLRX3|AKAP6|LMNA|ROCK2|MEF2A|PARP1","regulation of muscle hypertrophy","20","ENR","REGULATION OF MUSCLE HYPERTROPHY%GOBP%GO:0014743","-1.4384","0.002","REGULATION OF MUSCLE HYPERTROPHY%GOBP%GO:0014743",,,"false","REGULATION OF MUSCLE HYPERTROPHY%GOBP%GO:0014743"
,"-0.9847","-0.6781","0.0793","VIRAL GENOME 
REPLICATION%GOBP%GO:0019079 ","1.0","VCP|EEA1|PI4KA|SMARCB1|CTBP2|CDC42|PCBP1|LAMTOR5|PCBP2|HTATSF1|CXCR6|DEK|GAS6|ATG16L2|ATG16L1|RAB5A|CTBP1|NFIA|ROCK2","viral genome replication","19","ENR","VIRAL GENOME REPLICATION%GOBP%GO:0019079","-1.44","0.0153","VIRAL GENOME REPLICATION%GOBP%GO:0019079",,,"false","VIRAL GENOME REPLICATION%GOBP%GO:0019079"
,"-0.9859","-0.6513","0.099","NEURON 
RECOGNITION%GOBP%GO:0008038 ","1.0","RTN4|PALLD|CNTN4|EPHB2|EMB|SEMA5A|BSG|DSCAML1|NRCAM|NPTN|APP|OPCML|MEGF8|PCDH12|CNTNAP2|CDK5R1|ROBO1|ARHGAP35|EPHA4|NEXN|NTM|AMIGO1","neuron recognition","22","ENR","NEURON RECOGNITION%GOBP%GO:0008038","-1.4076","0.0141","NEURON RECOGNITION%GOBP%GO:0008038",,,"false","NEURON RECOGNITION%GOBP%GO:0008038"
,"-1.0","-0.6857","0.058","ERBB4 SIGNALING 
EVENTS%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED 
DATA%ERBB4 
SIGNALING EVENTS ","1.0","GRB2|LRIG1|WWOX|NCOR1|CBFA2T3|PIK3CA|TAB2|PRLR|ERBB2|WWP1|SHC1|ITCH|NEDD4|PIK3R1|MAPK1|FYN|MAPK3|STAT5B|PIK3CB|MDM2|ADAM17|DLG4|NRG1|STAT5A|JAK2","ErbB4 signaling events","25","ENR","ERBB4 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ERBB4 SIGNALING EVENTS","-1.4937","0.0","ERBB4 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ERBB4 SIGNALING EVENTS",,,"false","ERBB4 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ERBB4 SIGNALING EVENTS"
,"-0.997","-0.6622","0.0658","REGULATION OF 
STRIATED MUSCLE 
CELL 
DIFFERENTIATION%GOBP%GO:0051153 ","1.0","AKAP13|FRS2|MEF2C|MAML1|NOTCH1|DMPK|HDAC5|SMAD4|HDAC4|HDAC9|XBP1|AKAP6|SOX6|CD53|FLOT1|TGFB1|EHD1|GSK3A|ATP11A|FBXO22|CFLAR|PIEZO1|HDAC1|BDNF|HDAC3|NRG1|SIK1|MAPK14","regulation of striated muscle cell differentiation","28","ENR","REGULATION OF STRIATED MUSCLE CELL DIFFERENTIATION%GOBP%GO:0051153","-1.4701","0.003","REGULATION OF STRIATED MUSCLE CELL DIFFERENTIATION%GOBP%GO:0051153",,,"false","REGULATION OF STRIATED MUSCLE CELL DIFFERENTIATION%GOBP%GO:0051153"
"12","-1.0","-0.7152","0.0102","REGULATION OF 
CARDIAC 
CONDUCTION%GOBP%GO:1903779 ","0.505","ATP2A3|ATP2A2|ITPR1|ITPR2|ITPR3|TMEM65|RANGRF|PDE4D|DMPK|AHCYL1|RYR1|RYR3|ASPH|ATP2B4|TRPC1|FXYD6|FLNA|NPR2|ATP2B1|FKBP1B|ATP1B3|CORIN|CALM3|SRI|CAMK2D|SLC8A1|ABCC9|TNNI3K|CALM2|ATP1B1|ATP1A1|STIM1|CALM1|PRKACA|RYR2|ANK2","regulation of cardiac conduction","36","ENR","REGULATION OF CARDIAC CONDUCTION%GOBP%GO:1903779","-1.6083","0.0","REGULATION OF CARDIAC CONDUCTION%GOBP%GO:1903779",,,"false","REGULATION OF CARDIAC CONDUCTION%GOBP%GO:1903779"
"12","-0.997","-0.6735","0.0612","ION 
HOMEOSTASIS%REACTOME%R-HSA-5578775.2 ","1.0","ORAI2|ORAI1|CLIC2|PLN|ATP2A3|ATP2A2|ITPR1|ITPR2|ITPR3|DMPK|AHCYL1|RYR1|RYR3|ASPH|ATP2B4|TRPC1|FXYD6|ATP2B1|FKBP1B|ATP1B3|SRI|SLC8A1|CAMK2D|ABCC9|ATP1B1|ATP1A1|STIM1|CALM1|CAMK2G|PRKACA|RYR2","Ion homeostasis","31","ENR","ION HOMEOSTASIS%REACTOME%R-HSA-5578775.2","-1.4871","0.003","ION HOMEOSTASIS%REACTOME%R-HSA-5578775.2",,,"false","ION HOMEOSTASIS%REACTOME%R-HSA-5578775.2"
"12","-1.0","-0.6543","0.0541","CARDIAC 
CONDUCTION%REACTOME%R-HSA-5576891.2 ","1.0","KCNH2|KCNQ1|ORAI2|ORAI1|KCNE1|KCNE3|FGF14|CACNB1|CLIC2|CACNB2|PLN|KCNK6|CACNA2D2|KCNK12|ITPR1|KCNK13|ITPR2|AKAP9|ITPR3|RANGRF|DMPK|HIPK1|AHCYL1|RYR1|RYR3|ASPH|ATP2B4|TRPC1|FXYD6|NPR2|FGF13|ATP2B1|FKBP1B|ATP1B3|CORIN|SRI|SLC8A1|CAMK2D|ABCC9|HIPK2|ATP1B1|ATP1A1|STIM1|CALM1|CAMK2G|PRKACA|RYR2|ATP2A3|ATP2A2|SCN8A|KAT2B|CACNA1C|KCNJ2|KCNIP1|KCNIP2|KCNIP4|SCN3A|SCN9A","Cardiac conduction","58","ENR","CARDIAC CONDUCTION%REACTOME%R-HSA-5576891.2","-1.505","0.0","CARDIAC CONDUCTION%REACTOME%R-HSA-5576891.2",,,"false","CARDIAC CONDUCTION%REACTOME%R-HSA-5576891.2"
"12","-0.9939","-0.6907","0.0748","PLATELET CALCIUM 
HOMEOSTASIS%REACTOME 
DATABASE ID 
RELEASE 
75%418360 ","1.0","ORAI2|SRI|TRPC6|ORAI1|SLC8A1|STIM1|CALM1|ATP2A3|ATP2A2|ITPR1|ITPR2|P2RX7|ITPR3|P2RX5|P2RX1|P2RX4|ATP2B4|ATP2B1","Platelet calcium homeostasis","18","ENR","PLATELET CALCIUM HOMEOSTASIS%REACTOME DATABASE ID RELEASE 75%418360","-1.4504","0.0061","PLATELET CALCIUM HOMEOSTASIS%REACTOME DATABASE ID RELEASE 75%418360",,,"false","PLATELET CALCIUM HOMEOSTASIS%REACTOME DATABASE ID RELEASE 75%418360"
,"-0.9798","-0.65","0.0969","HISTONE H3-K4 
METHYLATION%GOBP%GO:0051568 ","1.0","TET3|WDR82|WDR5B|CXXC1|SETMAR|WDR61|TET2|WDR5|KMT2D|KMT2C|KMT2A|DPY30|PAGR1|RBBP5|SETD1B|SETD1A|ASH2L|PAXIP1|KDM6A|CTR9|ZNF335","histone H3-K4 methylation","21","ENR","HISTONE H3-K4 METHYLATION%GOBP%GO:0051568","-1.412","0.0202","HISTONE H3-K4 METHYLATION%GOBP%GO:0051568",,,"false","HISTONE H3-K4 METHYLATION%GOBP%GO:0051568"
,"1.0","0.4647","0.0561","REGULATION OF 
NUCLEASE 
ACTIVITY%GOBP%GO:0032069 ","0.236","AKT1|OAS1|ABCE1|NPM1|DFFA|GZMA|PRKCD|SIRT1|TERF1|TERF2|OASL|DDX11|RPS3|HMGB1|TMBIM6|PCNA|HMGB2|OAS2|OAS3|HSPA1A|NEIL1","regulation of nuclease activity","21","ENR","REGULATION OF NUCLEASE ACTIVITY%GOBP%GO:0032069","1.7658","0.0","REGULATION OF NUCLEASE ACTIVITY%GOBP%GO:0032069",,,"false","REGULATION OF NUCLEASE ACTIVITY%GOBP%GO:0032069"
,"-1.0","-0.632","0.0795","CA2+ 
PATHWAY%REACTOME%R-HSA-4086398.3 ","1.0","PDE6B|TCF7L2|GNG2|MAP3K7|GNB1|LEF1|GNB5|FZD3|GNAT2|TCF7L1|PPP3CA|FZD6|PLCB1|NLK|PPP3R1|PPP3CB|PLCB3|PLCB2|PRKCA|GNAO1|ITPR1|ITPR2|ITPR3|NFATC1|CTNNB1|PRKG2|GNG10|GNG11|TNRC6C|GNB2|AGO3|GNB4|AGO4|TCF7|AGO1|AGO2|GNG5|TNRC6A|GNG7|TNRC6B|CALM1|PRKG1|MOV10","Ca2+ pathway","43","ENR","CA2+ PATHWAY%REACTOME%R-HSA-4086398.3","-1.4395","0.0","CA2+ PATHWAY%REACTOME%R-HSA-4086398.3",,,"false","CA2+ PATHWAY%REACTOME%R-HSA-4086398.3"
"16","-0.9938","-0.6751","0.075","PID_NETRIN_
PATHWAY%MSIGDB_
C2%PID_NETRIN_
PATHWAY","1.0","TRIO|MAP2K1|NCK1|SRC|AGAP2|WASL|NTN1|CDC42|MYO10|UNC5A|PIK3CA|ELMO1|MAP2K2|YES1|PIK3R1|DOCK1|MAPK1|PAK1|FYN|MAPK3|RAC1","PID_NETRIN_PATHWAY","21","ENR","PID_NETRIN_PATHWAY%MSIGDB_C2%PID_NETRIN_PATHWAY","-1.4504","0.0062","PID_NETRIN_PATHWAY%MSIGDB_C2%PID_NETRIN_PATHWAY",,,"false","PID_NETRIN_PATHWAY%MSIGDB_C2%PID_NETRIN_PATHWAY"
"16","-1.0","-0.6667","0.0337","SIGNALING EVENTS 
MEDIATED BY FOCAL 
ADHESION 
KINASE%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED 
DATA%SIGNALING 
EVENTS MEDIATED 
BY FOCAL ADHESION 
KINASE ","0.956","SRC|RRAS|ITGB5|SH3GL1|RAF1|ARHGAP26|CRK|KLF8|TLN1|PIK3CA|MAPK9|MAPK8IP3|ELMO1|ARHGEF28|ASAP1|ARHGAP35|ARHGEF11|ITGB1|GIT2|PIK3R1|DOCK1|PAK1|MAPK1|FYN|RASA1|RHOA|ARHGEF7|VCL|ETS1|MAP2K1|ITGA5|CAPN2|BMX|ROCK2|RAP1A|RAC1|MAPK8|GRB2|SOS1|MAP2K4|RAP1B|PXN|BRAF|ITGAV|JUN|PLCG1|RAPGEF1|NCK1|ACTN1|NCK2|WASL|PTK2|YES1","Signaling events mediated by focal adhesion kinase","53","ENR","SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE","-1.5448","0.0","SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE",,,"false","SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY FOCAL ADHESION KINASE"
