"EnrichmentMap::Colouring (GSEAresults)","EnrichmentMap::ES (GSEAresults)","EnrichmentMap::fdr_qvalue (GSEAresults)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (GSEAresults)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (GSEAresults)","EnrichmentMap::pvalue (GSEAresults)","name","selected","shared name"
"0.99",,"1.0","CILIARY 
LANDSCAPE%WIKIPATHWAYS_20210210%WP4352%HOMO 
SAPIENS ",,"TIPRL|CNOT1|DYNC1LI1|DYNLT3|COX6C|LRPPRC|HTRA2|COPS8|DYNLT1|APC|UBE2D2|MYL6|ECHS1|MKS1|SNAP29|CNOT6L|BBS9|TNKS1BP1|GLA|CNOT10|TTC8|NEK8|RAB14|HDAC2|HDAC1|PGRMC2|STOM|RAB8A|VPS4A|DCAF7|DDX5|BBS4|CEP97|BBS2|MCM7|CTNNB1|DGKE|POM121|MCM5|CD2BP2|EXOC6|EXOC5|EXOC2|EXOC1|EXOSC4|UBE2H|H3F3B|NUP133|ACSL3|NINL|RB1|EFHC2|NFKB1|MAPRE2|WNK1|EXOC4|CTBP2|GDI1|RAB21|IFT27|IFT52|IFT57|IQCB1|ANKS3|WEE1|XPNPEP3|CLUAP1|BBS7|BBS5|CTSA|EHD3|ERF|LCN2|CALM2|TTC26|IFT20|IFT172|PAFAH1B1|IFT80|LZTFL1|RABEP2|BBIP1|IFT140|TFAP2E|RBM14|DYNC1H1|COPS6|GID8|ZMYND19|MCM2|MCM9|SSNA1|HSPB11|RPGR|CEP170|TMED1|DFNB31|RAC1|VAPB|RAB3IL1|ARFGAP3|PSMD13|NME8|TBC1D4|WDR26|RMND5B|CREBBP|IFT74|BBS1|EXOC8|RALB|AGPAT2|RMND5A|SMC4|DNPEP|SNRPB2|GID4|TTC30B|MFAP1|RQCD1|ARL8B|YPEL5|MAEA|APMAP|MCM6|ARMC8|MSH2|COPS7A|CDR2|EXOC6B|PSMC4|AAR2|RHBDD2|COPS4|RANBP9|RANBP10|PSMD7|DYNLL2|NDUFA9|TRAF3IP1|NDUFA5|NUDC|CEP290|COPS5|EIF5B","Ciliary landscape","145","ENR","CILIARY LANDSCAPE%WIKIPATHWAYS_20210210%WP4352%HOMO SAPIENS","1.0","0.01","CILIARY LANDSCAPE%WIKIPATHWAYS_20210210%WP4352%HOMO SAPIENS","false","CILIARY LANDSCAPE%WIKIPATHWAYS_20210210%WP4352%HOMO SAPIENS"
"0.99",,"1.0","PLACENTA 
DEVELOPMENT%GOBP%GO:0001890 ",,"TPPP3|RBPJ|PDGFB|PPARD|PTK2|SOD1|GHRL|PKD1|EOMES|PKD2|VDR|ADAM19|ASCL2|CASP8|CUL7|FGFR2|ITGB8|ZNF568|TFEB","placenta development","19","ENR","PLACENTA DEVELOPMENT%GOBP%GO:0001890","1.0","0.01","PLACENTA DEVELOPMENT%GOBP%GO:0001890","false","PLACENTA DEVELOPMENT%GOBP%GO:0001890"
"0.99",,"1.0","ANGIOPOIETIN 
LIKE PROTEIN 8 
REGULATORY 
PATHWAY%WIKIPATHWAYS_20210210%WP3915%HOMO 
SAPIENS ",,"PIK3R4|SESN3|HRAS|MAP3K8|SREBF2|RAF1|CRK|MAP2K5|MAPK9|PIK3CA|SCD|MAP2K2|FASN|SHC1|IRS1|MAP4K2|MAPKAP1|EIF4E|PIK3R1|INSR|RHEB|MAP4K1|MAPK1|MLST8|MAP3K2|TSC1|MAPK3|GSK3B|GSK3A|MAP2K1|FBP1|PTPN1|RPS6KB1|RPS6KB2|RPS6KA3|RPS6KA2|RPS6KA1|RICTOR|RPS6KA4|MTOR|FLOT2|MAP3K6|MAP3K5|MAPK8|MINK1|THRB|MAP3K7|THRA|SOS1|MAPK6|MAP2K4|PIK3CD|FOXO1|SOS2|PRKAB1|GYS1|PRKAG1|NR1H3|PDPK1|PRKAB2|PRKAG2|PRKAA1|PIK3R2|FLOT1|RAPGEF1|PIK3C2A|CBL|MAPK7|MAP3K11|TRIP10|MAP3K10|MAP3K13|RXRA|MAP3K12|RPS6KA5|FOXO3|CAP1|TSC2|PIK3R3|MAP2K3|MAPK14|EIF4EBP1|MAP3K1|MAPK13|MAP2K6","Angiopoietin Like Protein 8 Regulatory Pathway","85","ENR","ANGIOPOIETIN LIKE PROTEIN 8 REGULATORY PATHWAY%WIKIPATHWAYS_20210210%WP3915%HOMO SAPIENS","1.0","0.01","ANGIOPOIETIN LIKE PROTEIN 8 REGULATORY PATHWAY%WIKIPATHWAYS_20210210%WP3915%HOMO SAPIENS","false","ANGIOPOIETIN LIKE PROTEIN 8 REGULATORY PATHWAY%WIKIPATHWAYS_20210210%WP3915%HOMO SAPIENS"
"0.99",,"1.0","GDNF%IOB%GDNF
",,"MAP2K1|SRC|CBL|MAPK7|DOK1|RPS6KB1|PXN|RPS6KA3|NFKBIA|CREB1|RAF1|CRK|MAP2K2|SHC1|GAB2|ATF1|PIK3R1|MAPK1|JUN|PTK2B|FYN|DOK4|DOK6|MAPK3","GDNF","24","ENR","GDNF%IOB%GDNF","1.0","0.01","GDNF%IOB%GDNF","false","GDNF%IOB%GDNF"
"0.99",,"1.0","REGULATION OF 
MYELOID 
LEUKOCYTE 
MEDIATED 
IMMUNITY%GOBP%GO:0002886 ",,"FES|ITGB2|CD300A|FGR|F2RL1|SYK|LGALS9|DDX58|MAVS|STX4|TICAM1|BLK|VAMP8|CD177|SPI1|SNX4|SPHK2|FCGR2B|LYN|CD84|ITGAM|CAMK4|VAMP2|SNX6|GAB2|FER|STXBP2|DNASE1|VAMP3|ARG1|UNC13D|C12ORF4|CCR2","regulation of myeloid leukocyte mediated immunity","33","ENR","REGULATION OF MYELOID LEUKOCYTE MEDIATED IMMUNITY%GOBP%GO:0002886","1.0","0.01","REGULATION OF MYELOID LEUKOCYTE MEDIATED IMMUNITY%GOBP%GO:0002886","false","REGULATION OF MYELOID LEUKOCYTE MEDIATED IMMUNITY%GOBP%GO:0002886"
"0.99",,"1.0","CXCR4%IOB%CXCR4

",,"SRC|GNA13|PTPN11|CXCR4|RAF1|CRK|ITK|MAP2K2|STAT3|PIK3R1|PAK1|MAPK1|PTK2B|FYN|ZAP70|JAK3|MAPK3|STAT5B|PLCG2|GSK3B|VAV2|MAP2K1|RPS6KB1|RPS6KA3|RPS6KA2|CREB1|WAS|PRKCZ|RAC1|LCP2|USP14|STAT2|LIMK1|ESR2|DOK1|PXN|ACKR3|NFKBIB|FOXO1|GNAI1|PTPRC|ITGA4|SOCS3|NFKBIA|STAT4|CDC42|CCR5|STAT1|IKBKB|CHUK|SYK|BAD|TYK2|CTNNB1|JAK1|PIM1|PIK3R2|CRKL|NCK1|CBL|VAV1|LYN|PTPN6|RPS6|FOXO3|INPP5D|ATF1|MAP2K3|RELA|ARRB2|LCK|NFKB1","CXCR4","72","ENR","CXCR4%IOB%CXCR4","1.0","0.01","CXCR4%IOB%CXCR4","false","CXCR4%IOB%CXCR4"
"0.99",,"1.0","NEGATIVE 
REGULATION OF 
ALPHA-BETA T CELL 
ACTIVATION%GOBP%GO:0046636 ",,"LGALS9C|CBFB|TNFRSF14|FOXP3|LOXL3|SMAD7|TBX21|CD274|TWSG1|ZBTB7B|CD300A|TNFSF4|RC3H1|ANXA1|HMGB1|RUNX3|LGALS9|RUNX1|HFE|LILRB1|ZC3H12A|JAK3|RC3H2|SOCS5","negative regulation of alpha-beta T cell activation","24","ENR","NEGATIVE REGULATION OF ALPHA-BETA T CELL ACTIVATION%GOBP%GO:0046636","1.0","0.01","NEGATIVE REGULATION OF ALPHA-BETA T CELL ACTIVATION%GOBP%GO:0046636","false","NEGATIVE REGULATION OF ALPHA-BETA T CELL ACTIVATION%GOBP%GO:0046636"
"0.99",,"1.0","DNA 
PACKAGING%GOBP%GO:0006323 ",,"ASF1B|ANP32B|CSNK2A1|ASF1A|NAP1L2|CSNK2A2|NAP1L4|LIN54|EZH1|RUVBL1|CHMP1A|HELLS|CABIN1|SIRT1|HMGA2|KAT6B|HAT1|CDAN1|NCAPG|NCAPD2|NUSAP1|DAXX|AIFM1|NPM1|RBBP7|SMARCA5|NAP1L1|SART3|CTCF|PHF13|PSME4|RBBP4|NOC2L|AKAP8L|PADI4|TOP2A|CDKN2A|DFFB|GRWD1|SMC4|PAF1|INCENP|CENPV|NASP|HIRA|RSF1|UBN1|RNF8|BANF1|TP53|NCAPH2|NCAPG2|NCAPD3|M1AP|MCPH1|SMC2|OIP5|ACIN1|PHF8|NAA10|SET|MIS18BP1|ITGB3BP|SPTY2D1|CENPC|NAA60|BAHD1|ATRX|CENPT|CENPU|MIS18A|POLE3|CHAF1A|CENPK|CENPL|HMGB2|CENPN|KAT6A|CENPO|RB1|SYCP3|BRD2|TTN|CENPP|CENPQ|CSNK2B|HMGA1|SRPK1|IPO4|SMCHD1","DNA packaging","90","ENR","DNA PACKAGING%GOBP%GO:0006323","1.0","0.01","DNA PACKAGING%GOBP%GO:0006323","false","DNA PACKAGING%GOBP%GO:0006323"
"0.99",,"1.0","REGULATION OF 
LYASE 
ACTIVITY%GOBP%GO:0051339 ",,"CACNA1D|GNAI2|FXN|ORAI1|GRM3|AKAP5|STIM1|ISCU|NF1|MTRR|LTB4R2|CACNA1C|CRHR1|CAP1|PHPT1|PARK7|CCR2|GNAI3","regulation of lyase activity","18","ENR","REGULATION OF LYASE ACTIVITY%GOBP%GO:0051339","1.0","0.01","REGULATION OF LYASE ACTIVITY%GOBP%GO:0051339","false","REGULATION OF LYASE ACTIVITY%GOBP%GO:0051339"
"0.99",,"1.0","
CALCIUM-MEDIATED 
SIGNALING%GOBP%GO:0019722 ",,"MCTP1|CCR7|FIS1|CLIC2|CXCR4|CXCR6|DMPK|P2RX4|FPR2|CCR3|SLC9A1|FKBP1B|PLCG2|CXCR1|CXCR2|CALM3|SLC8A1|CAMK2D|CALM2|DMTN|ATP1B1|DMD|CALM1|RCAN1|PRKACA|NMUR1|PLA2G4B|RYR2|LRRK2|CCR4|ANK2|TPCN2|CX3CR1|BCAP31|CCR2|PRNP|ACKR3|PTPRC|PPP3CA|CXCR5|PPP3R1|CCR6|PPP3CC|PPP3CB|HTR2B|CXCR3|ATP2A2|CCR5|NFATC3|P2RY12|NFATC1|GSTM2|LAT|MCTP2|P2RY11|NFATC2|PDPK1|PRKAA1|TRPM2|CAMKK2|CCR1|PLCE1|PLCG1|PTGDR2|LAT2|PTPRJ|SULT1A3|BTK|EIF2AK3|CHRM3|MCU|CACNA1C|P2RX7|PPP1R9B|GSTO1|NFAT5|RCAN3|CCR9|PPP1R9A|NUDT4|SELP","calcium-mediated signaling","81","ENR","CALCIUM-MEDIATED SIGNALING%GOBP%GO:0019722","1.0","0.01","CALCIUM-MEDIATED SIGNALING%GOBP%GO:0019722","false","CALCIUM-MEDIATED SIGNALING%GOBP%GO:0019722"
"0.99",,"1.0","
PHOSPHATIDYLGLYCEROL 
BIOSYNTHESIS II 
(NON-PLASTIDIC)%HUMANCYC%PWY4FS-8 ",,"GPAM|AGPAT3|AGPAT5|AGPAT1|AGPAT2|AGPAT4|MBOAT7|LPCAT4|LCLAT1|MBOAT2|PGS1|GPD2|LPCAT3|MBOAT1|CDS2|ABHD5","phosphatidylglycerol biosynthesis II (non-plastidic)","16","ENR","PHOSPHATIDYLGLYCEROL BIOSYNTHESIS II (NON-PLASTIDIC)%HUMANCYC%PWY4FS-8","1.0","0.01","PHOSPHATIDYLGLYCEROL BIOSYNTHESIS II (NON-PLASTIDIC)%HUMANCYC%PWY4FS-8","false","PHOSPHATIDYLGLYCEROL BIOSYNTHESIS II (NON-PLASTIDIC)%HUMANCYC%PWY4FS-8"
"0.99",,"1.0","PROTEIN 
FOLDING%REACTOME%R-HSA-391251.1 ",,"TBCE|GNAI2|FBXO6|CSNK2A1|CSNK2A2|TUBB2B|STAT3|GBA|GNG10|GNG11|GNB2|GNB4|GNAI3|GNG5|GNG7|TUBA4B|RGS9|GNAZ|TUBA3D|TUBA3C|TUBA1A|FKBP9|TUBB4B|FBXL5|CCT8|LONP2|FBXW2|PDCL|PFDN2|ACTB|HDAC3|VBP1|PFDN1|PFDN4|PFDN6|PFDN5|TUBB6|TUBB1|GAPDHS|RGS6|RGS7|SKIV2L|TUBA1C|TUBA8|GNG2|DCAF7|GNB1|GNB5|GNAT2|KIF13A|GNAI1|GNAO1|ARFGEF2|WRAP53|CCT2|CCT6A|FBXL3|TP53|CCT3|FBXO4|FBXW4|TCP1|CCT7|CCT4|XRN2|USP11|NOP56|FBXW5|CCNE2|AP3M1|FBXW7|TBCC|TBCB|TUBA4A|TBCD|TBCA|ARL2|TUBA1B|TUBB2A|CSNK2B","Protein folding","80","ENR","PROTEIN FOLDING%REACTOME%R-HSA-391251.1","1.0","0.01","PROTEIN FOLDING%REACTOME%R-HSA-391251.1","false","PROTEIN FOLDING%REACTOME%R-HSA-391251.1"
"0.99",,"1.0","ENDODERMAL CELL 
DIFFERENTIATION%GOBP%GO:0035987 ",,"MMP8|LAMB1|ITGA5|PAF1|FN1|ITGA4|CDC73|ITGB5|HMGA2|ITGB2|LEO1|ITGAV|EOMES|COL7A1|MMP9|CTR9|RTF1|SETD2","endodermal cell differentiation","18","ENR","ENDODERMAL CELL DIFFERENTIATION%GOBP%GO:0035987","1.0","0.01","ENDODERMAL CELL DIFFERENTIATION%GOBP%GO:0035987","false","ENDODERMAL CELL DIFFERENTIATION%GOBP%GO:0035987"
"0.99",,"1.0","PID_RAS_
PATHWAY%MSIGDB_
C2%PID_RAS_
PATHWAY",,"PLCE1|GRB2|SOS1|HRAS|KRAS|RASGRP3|RRAS|SYNGAP1|SOS2|PRKCB|PRKCA|NF1|RASA4|PRKCE|RASGRP4|PRKCZ|RIN1|RASA2|NRAS","PID_RAS_PATHWAY","19","ENR","PID_RAS_PATHWAY%MSIGDB_C2%PID_RAS_PATHWAY","1.0","0.01","PID_RAS_PATHWAY%MSIGDB_C2%PID_RAS_PATHWAY","false","PID_RAS_PATHWAY%MSIGDB_C2%PID_RAS_PATHWAY"
"0.99",,"1.0","REGULATION OF JNK 
CASCADE%GOBP%GO:0046328 ",,"GSTP1|EPHB1|AXIN1|PHLPP1|HRAS|CCR7|FKTN|SEMA3A|TRAF6|NCOR1|MBIP|SH3RF1|MLKL|MAP4K2|CD40LG|TLR6|DNAJA1|ARHGEF5|MAP4K5|MAP3K9|MUL1|PTK2B|TNFRSF11A|TAOK1|MAP3K2|TNF|RIPK2|DAXX|IGF1R|HIPK2|TRAF5|HDAC3|ZNF622|GPS2|TIRAP|CYLD|RIPK1|WNT16|MINK1|SIRPA|MMP8|RASSF2|MAP3K7|SLAMF1|CD27|MAP2K4|CARD9|SH3RF3|UNC5CL|PLCB1|EDAR|TNIK|MECOM|RPS3|AGER|TRAF4|DUSP3|RASGRP1|WNT7A|MAP3K10|MAP3K13|MAP3K12|TAOK3|PINK1|HMGB1|MTURN|TLR9|DVL2|MAPK8IP3|DBNL|ITCH|PYCARD|MAP4K1|TRAF3|PAK1|LTBR|MAP2K7|PJA2|HIPK3|PKN1|DACT1|TAOK2|NCF1|ANKRD6|ERN1|DUSP22|SDCBP|MAP3K6|MAP3K4|TRAF2|ULK4|MAP3K5|PER1|SASH1|PTPN22|APP|GADD45B|GADD45A|DUSP10|NOD2|FLT4|SPAG9|MFHAS1|F2RL1|MDFIC|TRAF1|IL1B|ZNF675|MAP3K11|MEN1|FCGR2B|DVL3|TGFBR3|PDCD4|MAP4K4|COPS5|ZMYND11|AIDA","regulation of JNK cascade","118","ENR","REGULATION OF JNK CASCADE%GOBP%GO:0046328","1.0","0.01","REGULATION OF JNK CASCADE%GOBP%GO:0046328","false","REGULATION OF JNK CASCADE%GOBP%GO:0046328"
"0.99",,"1.0","MULTI-ORGANISM 
CELLULAR 
PROCESS%GOBP%GO:0044764 ",,"PHB|PPIA|ROMO1|APOL1|IRF3|IFIH1|IRF7|PI4KA|CXCR4|CCR5|RNF135|GAS6|CD4|TRIM25|HYAL2|CTSL|OAS3|DDX58|CLPB|PHB2","multi-organism cellular process","20","ENR","MULTI-ORGANISM CELLULAR PROCESS%GOBP%GO:0044764","1.0","0.01","MULTI-ORGANISM CELLULAR PROCESS%GOBP%GO:0044764","false","MULTI-ORGANISM CELLULAR PROCESS%GOBP%GO:0044764"
"0.99",,"1.0","POSITIVE 
REGULATION OF 
RELEASE OF 
CYTOCHROME C FROM 
MITOCHONDRIA%GOBP%GO:0090200 ",,"MOAP1|TNFSF10|PLAUR|BID|BCL2L11|FAM162A|CIDEB|BNIP3|DNM1L|BAX|PINK1|PYCARD|MFF|PPIF|PMAIP1|BAD|BMF|MMP9|PDCD5|TP53|BBC3","positive regulation of release of cytochrome c from mitochondria","21","ENR","POSITIVE REGULATION OF RELEASE OF CYTOCHROME C FROM MITOCHONDRIA%GOBP%GO:0090200","1.0","0.01","POSITIVE REGULATION OF RELEASE OF CYTOCHROME C FROM MITOCHONDRIA%GOBP%GO:0090200","false","POSITIVE REGULATION OF RELEASE OF CYTOCHROME C FROM MITOCHONDRIA%GOBP%GO:0090200"
"0.99",,"1.0","BIOCARTA_MET_
PATHWAY%MSIGDB_
C2%BIOCARTA_MET_
PATHWAY",,"MAPK8|GRB2|SOS1|HRAS|PTPN11|PTEN|RAF1|CRK|PIK3CA|MAP2K2|STAT3|ITGB1|PIK3R1|MAP4K1|DOCK1|MAPK1|JUN|PAK1|PTK2B|MAPK3|HGF|MAP2K1|RAPGEF1|CRKL|FOS|RAP1A","BIOCARTA_MET_PATHWAY","26","ENR","BIOCARTA_MET_PATHWAY%MSIGDB_C2%BIOCARTA_MET_PATHWAY","1.0","0.01","BIOCARTA_MET_PATHWAY%MSIGDB_C2%BIOCARTA_MET_PATHWAY","false","BIOCARTA_MET_PATHWAY%MSIGDB_C2%BIOCARTA_MET_PATHWAY"
"0.99",,"1.0","TRANSMEMBRANE 
RECEPTOR PROTEIN 
SERINE/THREONINE 
KINASE SIGNALING 
PATHWAY%GOBP%GO:0007178 ",,"ACVR1|SRC|FKBP1A|FAM83G|HIVEP1|SLC33A1|ENG|ITGB5|USP15|SIRT1|USP9X|USP9Y|BMP8A|BMP8B|CITED2|APPL2|SKI|ZFYVE9|ITGB1|SMAD4|TGFB3|RNF111|EID2|RHOA|TGFBRAP1|ZFYVE16|MAPK3|GCNT2|HIPK2|RUNX2|PTPRK|ZYX|ARHGEF18|TWSG1|GDF11|DUSP22|ACVR1C|PARD3|HFE|PRKCZ|NRROS|LPXN|MAP3K7|DDX5|UBB|PXN|UBC|NLK|LRRC32|SMAD7|FURIN|UBA52|BTBD11|BMP6|SMAD3|ZMIZ1|ACVR2B|ACVR2A|SMAD5|ZMIZ2|JUN|RGMB|F11R|MAGI2|APPL1|TGFB1|RPS27A|CBL|ATOH8|ADAM9|STUB1|FNTA|BMPR2|MEGF8|PTK2|NUP93|SMAD2|FOS|SMAD1|HPGD|TGFBR1|TGFBR3|TGFBR2|PDCD4|SMURF2|LTBP2|NOG|SMURF1|BMPR1A|ACVR1B|ARRB2","transmembrane receptor protein serine/threonine kinase signaling pathway","91","ENR","TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0007178","1.0","0.01","TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0007178","false","TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0007178"
"0.99",,"1.0","REGULATION OF 
HISTONE 
METHYLATION%GOBP%GO:0031060 ",,"ZNF304|BCOR|MYB|PAF1|BRCA1|WDR61|SIRT1|DNMT1|SMARCB1|PIH1D1|SNW1|SMAD4|IWS1|CTNNB1|CHTOP|TTLL12|PHF19|PHF1|MTF2|AASS|ZNF274|MTHFR|JARID2|TET1|KDM1A|WDR5|AUTS2|KMT2E|SUPT6H|ATRX|KMT2A|NSD1|PAXIP1|BRD4|CTR9|RIF1|ZNF335","regulation of histone methylation","37","ENR","REGULATION OF HISTONE METHYLATION%GOBP%GO:0031060","1.0","0.01","REGULATION OF HISTONE METHYLATION%GOBP%GO:0031060","false","REGULATION OF HISTONE METHYLATION%GOBP%GO:0031060"
"0.99",,"1.0","MELANOSOME 
ORGANIZATION%GOBP%GO:0032438 ",,"AP1G1|BLOC1S3|HPS1|RAB32|TRAPPC6A|KIF13A|BLOC1S6|PIKFYVE|BLOC1S4|AP3B1|BLOC1S5|BLOC1S2|AP3D1|DTNBP1|PMEL|AP1M1|LYST|RAB38|HPS4|SNAPIN|BLOC1S1|ABCB6","melanosome organization","22","ENR","MELANOSOME ORGANIZATION%GOBP%GO:0032438","1.0","0.01","MELANOSOME ORGANIZATION%GOBP%GO:0032438","false","MELANOSOME ORGANIZATION%GOBP%GO:0032438"
"0.99",,"1.0","NADH METABOLIC 
PROCESS%GOBP%GO:0006734 ",,"HK1|HK3|ENO1|PKM|NUDT13|PFKP|FOXK2|FOXK1|GPI|TPI1|VCP|ENO2|PGAM1|PFKM|GAPDH|ALDOA|MDH1|PGAM2|PFKL|GPD2|HK2|ALDOC|GAPDHS|GPD1L|PGK1","NADH metabolic process","25","ENR","NADH METABOLIC PROCESS%GOBP%GO:0006734","1.0","0.01","NADH METABOLIC PROCESS%GOBP%GO:0006734","false","NADH METABOLIC PROCESS%GOBP%GO:0006734"
"0.99",,"1.0","VITAMIN B5 
(PANTOTHENATE) 
METABOLISM%REACTOME%R-HSA-199220.2 ",,"PPCS|VNN1|ENPP2|AASDHPPT|PDZD11|PANK2|VNN2|FASN|ENPP3|COASY|SLC25A16|PANK4|PANK3|PANK1|SLC5A6|PPCDC","Vitamin B5 (pantothenate) metabolism","16","ENR","VITAMIN B5 (PANTOTHENATE) METABOLISM%REACTOME%R-HSA-199220.2","1.0","0.01","VITAMIN B5 (PANTOTHENATE) METABOLISM%REACTOME%R-HSA-199220.2","false","VITAMIN B5 (PANTOTHENATE) METABOLISM%REACTOME%R-HSA-199220.2"
"0.99",,"1.0","STEROL METABOLIC 
PROCESS%GOBP%GO:0016125 ",,"MSMO1|LIPA|NSDHL|SOAT1|STARD3|SNX17|CYP7B1|OSBPL1A|GBA|LCAT|LBR|LDLRAP1|EBP|SULT2B1|G6PD|HMGCR|ABCA5|OSBPL5|ACAA2|CYP1B1|SCAP|INSIG2|DHCR24|ARV1|INSIG1|ACAT2|APOL2|CYP21A2|CLN6|FDX1|IDI1|GGPS1|TM7SF2|CYP4V2|CYP51A1|MVD|MVK|SQLE|ABCG1|LSS|CETP|FDPS|SC5D|ABCA1|PRKAG2|HMGCS1|CLN8|FDFT1|PMVK|PPARD|RXRA|ACLY|CES1|CYP27A1|FAXDC2|SCARF1|GBA2|HSD17B7","sterol metabolic process","58","ENR","STEROL METABOLIC PROCESS%GOBP%GO:0016125","1.0","0.01","STEROL METABOLIC PROCESS%GOBP%GO:0016125","false","STEROL METABOLIC PROCESS%GOBP%GO:0016125"
"0.99",,"1.0","RNA 
POLYADENYLATION%GOBP%GO:0043631 ",,"GRSF1|SYMPK|PAF1|APP|CDC73|CLP1|LEO1|PAPOLA|CPSF1|CPSF3|WDR33|CPSF2|PNPT1|PABPC1|AHCYL1|SSU72|CSTF3|FIP1L1|SCAF8|PCF11|MTPAP|TUT1|PAPOLG","RNA polyadenylation","23","ENR","RNA POLYADENYLATION%GOBP%GO:0043631","1.0","0.01","RNA POLYADENYLATION%GOBP%GO:0043631","false","RNA POLYADENYLATION%GOBP%GO:0043631"
"0.99",,"1.0","HISTONE 
PHOSPHORYLATION%GOBP%GO:0016572 ",,"CDK2|NEK11|MST1|CCNA2|PRKCD|PKN1|INCENP|PRKCB|HMGA2|MAP3K12|PRKCA|RPS6KA4|RPS6KA5|VRK1|BAZ1B|JAK2","histone phosphorylation","16","ENR","HISTONE PHOSPHORYLATION%GOBP%GO:0016572","1.0","0.01","HISTONE PHOSPHORYLATION%GOBP%GO:0016572","false","HISTONE PHOSPHORYLATION%GOBP%GO:0016572"
"0.99",,"1.0","REGULATION OF 
CHROMATIN 
ORGANIZATION%GOBP%GO:1902275 ",,"BCOR|MYB|ZNF451|BRCA1|TLK1|HNRNPU|ALKBH4|SMAD4|MAPK3|DAXX|JARID2|CAMK2D|C6ORF89|FOXP3|TET1|SPHK2|KDM1A|ATF7IP|WDR5|PRMT6|KMT2E|ZBTB7B|KMT2A|SIN3A|RNF40|SETD1A|PAXIP1|CTR9|KAT7|NOC2L|RNF20|ZNF335|PADI2|TRIM28|SETDB1|FMR1|SETDB2|TADA2B|TADA2A|PAF1|THAP7|TINF2|TERF1|VEGFA|KDM5A|HDAC5|ACD|CTNNB1|POT1|SSRP1|TPR|MKI67|AKAP8|TERF2IP|PHF2|PHF8|TAF7|SET|SETD5|SPTY2D1|RPS6KA5|PRKD1|SNCA|ARRB1|PPHLN1|PARK7|MIER1|RIF1|HMGA1|MPHOSPH8|ATAD2B|ATAD2|ASF1A|ZNF304|MORC2|WDR61|SIRT1|DNMT1|SMARCB1|PIH1D1|BRD7|ING2|TLK2|WBP2|NIPBL|CAMK1|PRKD2|TAL1|RPS6KA4|AUTS2|GLYR1|METTL4|SART3|BRD4|TRIP12|AKAP8L|PARP10|OTUB1|OTUB2|WDR70|UBR5|SNW1|TERF2|CDK9|FLCN|MAP1S|RAPGEF3|SIRT6|IWS1|CHTOP|TTLL12|PHF19|PHF1|MTF2|AASS|ZNF274|SPI1|PARG|MTHFR|IL1B|MLLT3|SUPT6H|ATRX|CTBP1|NSD1|RUVBL2|UBE2N","regulation of chromatin organization","127","ENR","REGULATION OF CHROMATIN ORGANIZATION%GOBP%GO:1902275","1.0","0.01","REGULATION OF CHROMATIN ORGANIZATION%GOBP%GO:1902275","false","REGULATION OF CHROMATIN ORGANIZATION%GOBP%GO:1902275"
"0.99",,"1.0","IN UTERO 
EMBRYONIC 
DEVELOPMENT%GOBP%GO:0001701 ",,"RBPJ|HOPX|STIL|NASP|LIG4|PKD2|VEGFA|FLCN|TGFB3|CASP8|HORMAD1|FGFR2|ZP3|CHD7|WDR74|ADAM10|TET1|MBNL1|PDGFB|FUT8|PKD1|EOMES|ACVR1C|SRF|TGFBR1|ASCL2|HINFP|ZNF568|TFEB","in utero embryonic development","29","ENR","IN UTERO EMBRYONIC DEVELOPMENT%GOBP%GO:0001701","1.0","0.01","IN UTERO EMBRYONIC DEVELOPMENT%GOBP%GO:0001701","false","IN UTERO EMBRYONIC DEVELOPMENT%GOBP%GO:0001701"
